ID,subject,object,original_label
716,Distributed ledger,Shared ledger,same-as
717,Distributed power generation,Dispersed power generation,same-as
718,Distributed power generation,Distributed generation,same-as
719,Electricity supply industry deregulation,Electricity supply industry liberalization,same-as
720,Electricity supply industry deregulation,Electricity supply industry liberalisation,same-as
721,Electro-absorption modulators,Electroabsorption modulators,same-as
722,Electro-absorption modulators,Electroabsorptive modulators,same-as
723,Electro-optic modulators,Electrooptical modulators,same-as
724,Electro-optic modulators,Electro-optical modulators,same-as
725,Electro-optic modulators,Electrooptic modulators,same-as
726,Electronic commerce,Ecommerce,same-as
727,Electronic commerce,E-commerce,same-as
728,Electronic healthcare,E health,same-as
729,Electronic healthcare,Ehealth,same-as
730,Global Positioning System,GPS,same-as
731,Hardware design languages,Hardware description languages,same-as
732,Home appliances,Household appliances,same-as
733,Home appliances,Domestic appliances,same-as
734,Hydroelectric power generation,Hydroelectricity,same-as
735,Hydroelectric power generation,Hyrdroelectric,same-as
736,In-memory computing,In memory computing,same-as
737,Information age,Age of information,same-as
738,Information-centric networking,Content-centric networking,same-as
739,Information-centric networking,Information centric networks,same-as
740,Information-centric networking,Information centric networking,same-as
741,Interchannel interference,Cochannel interference,same-as
742,Kirchhoff's Law,Kirchhoff current law,same-as
743,Kirchhoff's Law,Kirchhoff law,same-as
744,Kirchhoff's Law,Kirchhoff approximation,same-as
745,Labor resources,Labour resources,same-as
746,Light emitting diodes,LEDs,same-as
747,Light emitting diodes,LED,same-as
748,Light emitting diodes,Light-emitting diodes,same-as
749,Magnetic resonance imaging,NMR imaging,same-as
750,Magnetic resonance imaging,MRI,same-as
751,Archeology,Electronic switching systems,other
752,Feedback loop,Flexible electronics,other
753,Booting,Power system protection,other
754,Mobile learning,Representation learning,other
755,Optical modulators,PD control,other
756,Quantum dots,Standardization,other
757,Flammability,Smart homes,other
758,Linear circuits,Microwave sensors,other
759,Anthropomorphism,Marine technology,other
760,Cranes,Visual systems,other
761,Classification tree analysis,Neuromorphic engineering,other
762,Emissions trading,Metal foam,other
763,Radar,Wavelet analysis,other
764,Electrochromic devices,Particle beam injection,other
765,Quantum networks,Loans and mortgages,other
766,Fiber reinforced plastics,Power system reliability,other
767,Mixed integer linear programming,Load monitoring,other
768,Microwave communication,Plastics industry,other
769,Surface fitting,Message passing,other
770,Dictionaries,Prosthetic limbs,other
771,Space radiation,UHF propagation,other
772,Induction motors,Memoryless systems,other
773,Home computing,Physical layer security,other
774,Ion implantation,Tracking loops,other
775,Broadcast technology,Turing machines,other
776,Vehicles,Radiation effects,other
777,Wine industry,Manipulator dynamics,other
778,Embryonic structures,Passive radar,other
779,Visual odometry,Publishing,other
780,Vehicles,Dielectric measurement,other
781,Network resource management,Skin neoplasms,other
782,Frequency-domain analysis,Wearable robots,other
783,Tides,Platinum,other
784,Sonar measurements,Numerical stability,other
785,Charge measurement,Optical sensors,other
786,Self-organizing networks,Mutual information,other
787,Ice surface,Vision defects,other
788,Control theory,Bonding forces,other
789,Sonar measurements,Probability distribution,other
790,Permanent magnets,Carotid arteries,other
791,Hybrid learning,Boats,other
792,Wireless personal area networks,Debugging,other
793,Agricultural robots,Embolization,other
794,Reflectometry,Gaze tracking,other
795,Programmable logic arrays,Deuterium,other
796,Smart cards,Immune system,other
797,Reverberation,Cosmic rays,other
798,Morphological operations,Laser fusion,other
799,Aerospace electronics,Solvents,other
800,Government policies,Wireless sensor networks,other
801,Fall detection,Teleworking,other
802,Radiofrequency safety,Radio communication countermeasures,other
803,Network resource management,Surface tension,other
804,Geothermal power generation,Photonic bandgap fibers,other
805,Electrolytes,Digital printing,other
806,Radiofrequency safety,Catalysis,other
807,Spinal cord injury,Vocational training,other
808,Terahertz radiation,Passwords,other
809,X-ray telescopes,Loans and mortgages,other
810,Anxiety disorders,Biomedical monitoring,other
811,Diversity methods,Microgrids,other
812,Food industry,Serious games,other
813,Electrostatic devices,Software defined networking,other
814,Atomic force microscopy,Wavelet domain,other
815,Information and communication technology,Thermal resistance,other
816,Diamagnetic materials,Hydrocarbons,other
817,Streaming media,Inverters,other
818,Feedback loop,Hyperspectral sensors,other
819,Brain injuries,Publishing,other
820,Radar,Thermal lensing,other
821,Hybrid learning,Neurology,other
822,Thermal management,Yttrium,other
823,Statistical analysis,Whale optimization algorithms,other
824,Ant colony optimization,Interface phenomena,other
825,Hyper-intelligent systems,Wireless LAN,other
826,Nonlinear circuits,Least mean squares methods,other
827,Machine ethics,White matter,other
828,Transport protocols,Millimeter wave devices,other
829,Integrated memory circuits,Light rail systems,other
830,Propellers,Anxiety disorders,other
831,Set theory,Bone diseases,other
832,Space radiation,Fuel processing industries,other
833,Reverberation chambers,Electronic packaging thermal management,other
834,Propellers,Data systems,other
835,Polarization shift keying,Fluid dynamics,other
836,Readout electronics,Equal opportunities,other
837,Machine tools,Pulsed electroacoustic methods,other
838,Quantum dots,Plastic packaging,other
839,Quantum dots,Electromagnetic heating,other
840,Fast Fourier transforms,Small business technology transfer,other
841,Prosthetics,Discharge lamps,other
842,Diffraction gratings,Underground power cables,other
843,Wind energy,Thermoplastic polyethylene,other
844,Electronic voting systems,Power system planning,other
845,Electronic commerce,Radar interferometry,other
846,Protective clothing,Semiconductor device breakdown,other
847,Motors,Furnaces,other
848,Intracranial pressure sensors,Superconducting magnetic energy storage,other
849,Deductive databases,Computational fluid dynamics,other
850,Thyratrons,Stability criteria,other
851,Government policies,Biopsy,other
852,Manipulators,Uncertainty,other
853,Electrochromic devices,Green design,other
854,Electronic commerce,Collimators,other
855,Railway electrification,Optical fiber cables,other
856,Radiation protection,Approximation methods,other
857,Magnetic fields,Comets,other
858,Digital recording,Injection-locked oscillators,other
859,Job design,Probes,other
860,Electronic commerce,Coronaviruses,other
861,Marine technology,Thin film circuits,other
862,Histopathology,Temperature distribution,other
863,Communication equipment,Stochastic processes,other
864,Booting,Multicast VPN,other
865,Floods,Radiofrequency integrated circuits,other
866,Continuous wavelet transforms,Optical solitons,other
867,Ambient networks,Ergonomics,other
868,Uniaxial strain,Millennials,other
869,Transversal filters,Software prototyping,other
870,Archeology,Biofuels,other
871,Systems modeling,Radar detection,other
872,Orthopedic procedures,Phonocardiography,other
873,Polarization shift keying,Impersonation attacks,other
874,Glass,Information geometry,other
875,Venus,Doped fiber amplifiers,other
876,Earth,Data structures,other
877,Agricultural robots,Computer mediated communication,other
878,Acoustic reflection,Head,other
879,Share prices,Formal concept analysis,other
880,Quantum cascade lasers,Digital elevation models,other
881,Diffraction gratings,Sugar industry,other
882,Physical unclonable function,Helicopters,other
883,Azimuth,Winches,other
884,Iterative decoding,Germanium alloys,other
885,Continuous wavelet transforms,Histopathology,other
886,Electronic voting systems,Ocean temperature,other
887,Authentication,Estimation theory,other
888,Radio access technologies,Impurities,other
889,Venus,Circuit synthesis,other
890,Image capture,Road accidents,other
891,Feature extraction,Machining,other
892,Postal services,Scientific computing,other
893,Digital recording,OWL,other
894,Morphological operations,Organizations,other
895,Automotive engineering,Computational cultural modeling,other
896,Man-machine systems,Level control,other
897,Magnetic tunneling,Parietal lobe,other
898,Low-carbon economy,Steel,other
899,Deductive databases,Mechanical power transmission,other
900,Infrared sensors,Licenses,other
901,Broadcasting,Superconducting films,other
902,Impersonation attacks,International trade,other
903,Electrolytes,Consensus protocol,other
904,Eigenvalues and eigenfunctions,Coherence,other
905,Metaheuristics,Topological insulators,other
906,Dielectric resonator antennas,Computer crime,other
907,Brain injuries,Transfer molding,other
908,mHEMTs,Photoreceptors,other
909,Metaheuristics,Renewable energy sources,other
910,Doped fiber amplifiers,Tagging,other
911,Spinal cord injury,Excavation,other
912,Wine industry,Liquid nitrogen,other
913,Bulk acoustic wave devices,Magnesium,other
914,Aerospace electronics,Switched capacitor circuits,other
915,Vivaldi antennas,Encyclopedias,other
916,Corrugated surfaces,Career development,other
917,Energy harvesting,Underwater technology,other
918,Classification tree analysis,Thermal management of electronics,other
919,Integrated memory circuits,Neurostimulation,other
920,Atomic force microscopy,Switched circuits,other
921,Floods,Cyclic redundancy check,other
922,Process design,Weibull distribution,other
923,Three-dimensional displays,Volume measurement,other
924,FET integrated circuits,Rheology,other
925,Smart materials,Multiskilling,other
926,X-ray telescopes,Electricity supply industry deregulation,other
927,Digital recording,Rapid prototyping,other
928,Postal services,Esophagus,other
929,FET integrated circuits,Multiple access interference,other
930,Transmission line measurements,Neuroradiology,other
931,Radio access networks,Alcoholic beverages,other
932,Hypertension,Radiation effects,other
933,Plating,Hydraulic systems,other
934,UHF propagation,Waste reduction,other
935,Food industry,Timing,other
936,Military computing,Trees - insulation,other
937,Software algorithms,Cyclones,other
938,Charge measurement,Proteins,other
939,Analog-digital conversion,Power steering,other
940,Control theory,Military communication,other
941,Atomic clocks,Foot,other
942,Diamagnetic materials,MERIS,other
943,Glass,Constraint handling,other
944,Thin films,Nonconductive adhesives,other
945,Electromechanical devices,Wavelet coefficients,other
946,Anxiety disorders,Cable TV,other
947,Spreadsheet programs,Construction industry,other
948,Coplanar transmission lines,Edge computing,other
949,Inference algorithms,Finishing,other
950,Switching loss,Fans,other
951,Software reliability,Frequency shift keying,other
952,Particle accelerators,Mobile applications,other
953,Electrochromic devices,Dynamic voltage scaling,other
954,Convergence,Optical refraction,other
955,New Radio,Pressure vessels,other
956,Paper mills,Chebyshev approximation,other
957,Active RFID tags,Systems engineering education,other
958,Photothyristors,Web pages,other
959,Frequency shift keying,Cryogenic electronics,other
960,Embryonic structures,Lightweight structures,other
961,Ion implantation,Sociotechnical systems,other
962,Electroencephalography,Optical pumping,other
963,Digital divide,Pressure sensors,other
964,Mobile learning,Microfiltration,other
965,Electromechanical devices,Structural shells,other
966,Shingled magnetic recording,Electric potential,other
967,Dielectric thin films,Paramagnetic resonance,other
968,Spectroradiometers,Light fields,other
969,Spinal cord injury,Distributed parameter systems,other
970,Pancreas,Volume relaxation,other
971,Bulk acoustic wave devices,Scintillation counters,other
972,Thermal management,Erbium-doped fiber lasers,other
973,Requirements engineering,Xnot_relatedD,other
974,Classification tree analysis,Structural plates,other
975,Fiber reinforced plastics,Field programmable analog arrays,other
976,Tides,Data breach,other
977,Sonar measurements,Ozonation,other
978,Loaded waveguides,Cinematography,other
979,Cepstral analysis,Spark Plasma sintering,other
980,Business intelligence,Scanning probe data storage,other
981,Ball milling,Bromine compounds,other
982,VHDL,Inductance measurement,other
983,Classification algorithms,Test equipment,other
984,Wind tunnels,Software development management,other
985,Acoustic arrays,Whole body imaging,other
986,Nonlinear circuits,Moisture control,other
987,Discrete wavelet transforms,Preforms,other
988,Thyratrons,Glow discharges,other
989,Turnkey project,Samarium compounds,other
990,Diffusion bonding,Thin films,other
991,Flanges,Laser materials processing,other
992,Ambient networks,Vehicular ad hoc networks,other
993,Object recognition,Biofuels,other
994,Coal industry,Data communication,other
995,Streaming media,Zero correlation zone,other
996,Irrigation,Landslides,other
997,Process design,Retinal vessels,other
998,Thin films,Edge computing,other
999,Railway electrification,Ring oscillators,other
1000,Coal industry,Multiprocessing systems,other
